batch,channel,real,imag
1,24,-0.000976562,0.00354004
1,25,0.000244141,-0.0012207
1,26,-0.000244141,-0.000976562
1,27,-0.00439453,-0.00610352
1,28,0.00341797,0.00146484
1,29,-0.00695801,-0.00561523
1,30,-0.000244141,-0.00195312
1,31,-0.00524902,0.000976562
1,32,-0.00390625,-0.00292969
1,33,-0.00219727,-0.000854492
1,34,-0.000244141,-0.00195312
1,35,-0.000488281,-0.00268555
1,36,-0.00402832,-0.00170898
1,37,0.00280762,-0.00219727
1,38,-0.000488281,-0.00183105
1,39,-0.00195312,0.0020752
1,40,-0.00183105,0
1,41,-0.00366211,-0.0012207
1,42,0.00585938,-0.00195312
1,43,0.00500488,-0.00268555
1,44,-0.000976562,-0.000854492
1,45,-0.00183105,-0.00280762
1,46,0.00012207,-0.00219727
1,47,-0.00390625,0.00244141
2,0,-0.00463867,0.00415039
2,1,-0.00280762,0.00683594
2,2,0.00561523,-0.00109863
2,3,0.00244141,0.00012207
2,4,0.000366211,-0.000732422
2,5,0.000732422,-0.000366211
2,6,-0.000854492,-0.000976562
2,7,0.00280762,-0.00109863
2,8,-0.00317383,0.00219727
2,9,-0.00219727,-0.00170898
2,10,-0.000610352,-0.00769043
2,11,-0.000854492,0.00195312
2,12,0.00402832,-0.00256348
2,13,-0.000732422,-0.0032959
2,14,0.00244141,-0.00170898
2,15,-0.0020752,0.00244141
2,16,-0.00683594,0
2,17,0.0045166,-0.00463867
2,18,0.0012207,0.00195312
2,19,0.00488281,-0.00183105
2,20,0.00305176,0.000610352
2,21,0.000488281,0
2,22,0.00195312,0.000488281
2,23,0.0012207,-0.0020752
2,24,0.0057373,-0.000976562
2,25,-0.000854492,-0.00268555
2,26,0.00183105,-0.000244141
2,27,0.000732422,-0.00585938
2,28,0.000488281,0.00134277
2,29,0.00183105,0.00537109
2,30,-0.00305176,0.00195312
2,31,-0.00354004,-0.00170898
2,32,-0.000244141,0.00012207
2,33,-0.0020752,0.0020752
2,34,-0.00134277,-0.000732422
2,35,-0.00109863,0.00109863
2,36,-0.00476074,-0.000244141
2,37,-0.00109863,0.00366211
2,38,-0.00244141,-0.00146484
2,39,-0.00256348,-0.00378418
2,40,-0.000610352,0.00512695
2,41,-0.0012207,0.00439453
2,42,0.00292969,-0.00195312
2,43,-0.000976562,-0.00158691
2,44,0.00256348,-0.00219727
2,45,-0.00134277,-0.00341797
2,46,0.00378418,-0.00769043
2,47,0.00183105,-0.00561523
3,0,0.00012207,0.00146484
3,1,-0.00170898,0.000366211
3,2,-0.00341797,0.00183105
3,3,0.00183105,0.00231934
3,4,-0.000732422,0.000244141
3,5,0.00146484,0.000366211
3,6,-0.0012207,-0.00280762
3,7,-0.0065918,0.00439453
3,8,0.00402832,-0.0012207
3,9,-0.00720215,-0.00170898
3,10,-0.00317383,0.000366211
3,11,-0.00341797,-0.0020752
3,12,0.00231934,-0.00231934
3,13,-0.00378418,0.000488281
3,14,0.0032959,0.00012207
3,15,0.0012207,0.00256348
3,16,-0.000244141,-0.00109863
3,17,-0.00183105,0.000976562
3,18,-0.000610352,-0.00183105
3,19,0.00109863,-0.00390625
3,20,-0.00341797,0.00280762
3,21,-0.00256348,0
3,22,0.000976562,0.0012207
3,23,-0.00134277,0.000366211
3,24,-0.0020752,-0.000732422
3,25,-0.00256348,0.0012207
3,26,0.000610352,-0.00244141
3,27,0.00292969,-0.000488281
3,28,0.00134277,0.00012207
3,29,0.0020752,0.000366211
3,30,-0.000610352,0.000732422
3,31,0.00256348,0.00195312
3,32,0.00158691,-0.00170898
3,33,-0.00244141,0.00170898
3,34,-0.00134277,-0.0020752
3,35,0.000732422,-0.00012207
3,36,0.00341797,0.00183105
3,37,0.00268555,-0.00012207
3,38,0.00244141,0.00317383
3,39,-0.000610352,0.00500488
3,40,-0.00158691,-0.0020752
3,41,-0.000854492,-0.00585938
3,42,0.00134277,-0.00317383
3,43,0.00244141,-0.000976562
3,44,-0.00415039,0.000244141
3,45,0.000610352,-0.00256348
3,46,0.00244141,0.00280762
3,47,-0.000366211,-0.00109863
4,0,0.000610352,-0.00317383
4,1,-0.00256348,0.000610352
4,2,-0.00195312,-0.00354004
4,3,-0.00183105,0.00366211
4,4,0.000610352,-0.00146484
4,5,0.00146484,0.0012207
4,6,-0.00158691,-0.00158691
4,7,0.00109863,0.00012207
4,8,-0.00256348,0.00244141
4,9,-0.00476074,0.00158691
4,10,0.0012207,0.00183105
4,11,-0.00280762,-0.00292969
4,12,-0.00402832,-0.00158691
4,13,-0.00134277,-0.00244141
4,14,0.00146484,-0.00537109
4,15,0.000976562,-0.00231934
4,16,-0.00231934,0.0020752
4,17,0.000732422,0.000854492
4,18,0.000366211,-0.00439453
4,19,-0.00012207,-0.00231934
4,20,-0.00524902,-0.0065918
4,21,-0.00683594,-0.00219727
4,22,-0.000366211,0.0045166
4,23,0.000610352,-0.00341797
4,24,-0.000244141,0.000244141
4,25,-0.00537109,0.00268555
4,26,0.00109863,0
4,27,-0.00598145,0.00292969
4,28,-0.00280762,-0.00183105
4,29,-0.00549316,0.00292969
4,30,-0.000732422,0.00158691
4,31,-0.00256348,0.000854492
4,32,0.00378418,-0.00317383
4,33,-0.000244141,0.00012207
4,34,-0.00109863,-0.00280762
4,35,-0.000244141,-0.00158691
4,36,-0.00317383,0.00500488
4,37,0.00280762,0.00170898
4,38,-0.0020752,0.00720215
4,39,-0.000732422,0.00012207
4,40,0.00183105,0.0078125
4,41,-0.00378418,0.00354004
4,42,-0.00183105,0.000244141
4,43,-0.0020752,-0.00170898
4,44,0.000488281,0.000854492
4,45,0.000854492,-0.00500488
4,46,0.00402832,0.00170898
4,47,-0.00305176,-0.00158691
5,0,0.00012207,-0.00305176
5,1,0.00354004,0.00183105
5,2,-0.00500488,0.00134277
5,3,-0.00109863,0.00280762
5,4,-0.00158691,-0.00219727
5,5,-0.0012207,-0.00378418
5,6,-0.000366211,0.00170898
5,7,-0.00549316,0.00146484
5,8,-0.00170898,-0.00244141
5,9,-0.00231934,0.00183105
5,10,0.00012207,-0.00244141
5,11,-0.00195312,-0.0057373
5,12,0.0032959,0.0020752
5,13,-0.00109863,-0.0012207
5,14,-0.00415039,-0.000732422
5,15,0.00183105,0.000854492
5,16,0.0020752,-0.00195312
5,17,0.00402832,0.00109863
5,18,-0.00183105,-0.00378418
5,19,0.00219727,0.00109863
5,20,-0.000244141,-0.00488281
5,21,0.000488281,0.000610352
5,22,0.00317383,0.00183105
5,23,-0.00219727,-0.00195312
5,24,-0.0012207,0.00109863
5,25,-0.000976562,0
5,26,0.00366211,0.000366211
5,27,0.0065918,0.00158691
5,28,-0.000976562,-0.000244141
5,29,0.00366211,0.00292969
5,30,0.00256348,-0.00561523
5,31,0.000610352,0.00793457
5,32,0.00146484,0.00012207
5,33,-0.00134277,-0.000366211
5,34,0.00109863,-0.0012207
5,35,-0.00183105,-0.000244141
5,36,0.00341797,0.00012207
5,37,-0.000366211,-0.00366211
5,38,-0.00146484,0.00354004
5,39,0.00512695,-0.00341797
5,40,-0.00427246,-0.000976562
5,41,-0.00231934,-0.000488281
5,42,0.00109863,0.000488281
5,43,-0.00402832,-0.00231934
5,44,-0.00708008,-0.00219727
5,45,-0.00292969,-0.00256348
5,46,-0.00317383,0.00170898
5,47,-0.00500488,0.00292969
6,0,-0.00146484,-0.00134277
6,1,-0.0012207,-0.00427246
6,2,-0.00280762,-0.00280762
6,3,-0.000976562,0.00109863
6,4,-0.00256348,0.00427246
6,5,0.000976562,-0.000244141
6,6,-0.00109863,-0.000854492
6,7,-0.00256348,-0.00610352
6,8,-0.000610352,-0.00537109
6,9,-0.00427246,-0.00366211
6,10,0.00341797,-0.00109863
6,11,0.000244141,0.000488281
6,12,0.000366211,0.00341797
6,13,0.00231934,0.000732422
6,14,-0.00158691,0.00317383
6,15,0.00585938,-0.000610352
6,16,0.00256348,-0.00256348
6,17,0.00109863,0.00256348
6,18,-0.00354004,-0.00292969
6,19,-0.00158691,-0.00109863
6,20,-0.000366211,-0.00280762
6,21,-0.000732422,0.00195312
6,22,0.000244141,0.00305176
6,23,-0.00463867,0.00146484
6,24,0.00170898,-0.000244141
6,25,0.00256348,0.00170898
6,26,-0.00366211,-0.00146484
6,27,0.00354004,-0.000366211
6,28,-0.00268555,0.00134277
6,29,-0.00170898,-0.00585938
6,30,-0.000366211,-0.00378418
6,31,-0.00244141,-0.00158691
6,32,0.000366211,-0.0032959
6,33,-0.00280762,0.00134277
6,34,-0.00244141,-0.00219727
6,35,-0.00524902,0
6,36,0.00170898,-0.00512695
6,37,-0.000610352,0.00280762
6,38,0.000366211,-0.0020752
6,39,-0.00109863,-0.00134277
6,40,0.000488281,0.000854492
6,41,0.00256348,-0.00012207
6,42,-0.00109863,-0.000244141
6,43,-0.00500488,-0.00231934
6,44,0.00378418,0.000366211
6,45,0.00134277,-0.00622559
6,46,-0.00183105,0.00378418
6,47,-0.00280762,0.00354004
7,0,-0.00634766,0.0012207
7,1,-0.00378418,-0.00366211
7,2,-0.00317383,-0.00305176
7,3,-0.000244141,-0.00219727
7,4,-0.00317383,0.00183105
7,5,0.000854492,-0.00195312
7,6,-0.00231934,0.000488281
7,7,-0.00390625,-0.00537109
7,8,0.000488281,0.000732422
7,9,-0.00219727,0.00842285
