pixel,elem,real,imag
5,24,-0.0627166948,0.0060910073
5,25,-0.0628781637,0.0040705571
5,26,-0.0629750385,0.0020468068
5,27,-0.0629963818,0.0012370035
5,28,-0.0630029462,0.0008324881
5,29,-0.0630090154,0.0000226406
5,30,-0.0629787611,-0.0020013956
5,31,-0.0628825309,-0.0040241669
5,32,-0.0446803922,-0.0444296178
5,33,-0.0560017480,-0.0288801337
5,34,-0.0621045292,-0.0106396126
5,35,-0.0629389858,-0.0029660983
5,36,-0.0630022428,0.0008943887
5,37,-0.0624202613,0.0085912055
5,38,-0.0569194675,0.0270215853
5,39,-0.0461163842,0.0429341882
5,40,0.0270202726,0.0569218765
5,41,0.0574657404,0.0258441873
5,42,0.0605126217,-0.0175566276
5,43,0.0532371013,-0.0337030134
5,44,0.0479720394,-0.0408505236
5,45,0.0347100435,-0.0525872740
5,46,-0.0076418701,-0.0625461369
5,47,-0.0463510364,-0.0426842723
6,0,-0.0629028476,-0.0036851383
6,1,-0.0427944298,0.0462477455
6,2,0.0085444046,0.0624276231
6,3,0.0296034603,0.0556222214
6,4,0.0389130483,0.0495596787
6,5,0.0536488115,0.0330476703
6,6,0.0595989280,-0.0204516130
6,7,0.0220558883,-0.0590256345
6,8,-0.0532542255,-0.0336801612
6,9,-0.0590811163,-0.0219023033
6,10,-0.0623384500,-0.0091722468
6,11,-0.0628858773,-0.0039365219
6,12,-0.0629955580,-0.0013060627
6,13,-0.0628848723,0.0039571513
6,14,-0.0606973654,0.0169141719
6,15,-0.0558697074,0.0291356794
6,16,-0.0456433765,-0.0434406633
6,17,-0.0570141149,-0.0268247010
6,18,-0.0625632436,-0.0074701440
6,19,-0.0630048463,0.0006003561
6,20,-0.0628360226,0.0046401892
6,21,-0.0617252424,0.0126458734
6,22,-0.0545847700,0.0314705174
6,23,-0.0418724383,0.0470825829
6,24,0.0231636728,0.0585988341
6,25,0.0508177136,0.0372574999
6,26,0.0628530746,0.0044643688
6,27,0.0622666347,-0.0096523559
